region,reference_location,latitude,longitude,weather_site_source_note,weather_site_confidence,slot_index,forecast_datetime_utc,weather_time_utc,dry_bulb_c,wet_bulb_c,wet_bulb_f,model_wet_bulb_f,cooling_scenario,cooling_profile,activation_rule,activation_logic,evaporative_mode_active,dry_mode_wue_l_per_kwh,wet_tower_wue_l_per_kwh,evap_multiplier,evap_activation_dry_bulb_c,evap_activation_wet_bulb_c,direct_wue_l_per_kwh,model,source_dataset,source_url,cooling_profile_source_basis,cooling_profile_notes
DE,Frankfurt am Main metro proxy,50.1109,8.6821,Metro-scale proxy for the dominant DE cloud/data-center hub,metro,0,2025-02-26T10:00:00.000Z,2025-02-26T10:00,8.1,5.5,41.9,41.9,high,wet_tower,always,any,True,0.0,1.408141344,1.0,,,1.408141344,Gupta wet-tower submodel + explicit cooling-profile scenario,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=50.1109&longitude=8.6821&hourly=temperature_2m%2Cwet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT,Upper-bound always-evaporative tower scenario using Gupta wet-tower curve,Represents a conservative high-water direct-cooling case
DE,Frankfurt am Main metro proxy,50.1109,8.6821,Metro-scale proxy for the dominant DE cloud/data-center hub,metro,1,2025-02-26T11:00:00.000Z,2025-02-26T11:00,7.9,5.3,41.54,41.54,high,wet_tower,always,any,True,0.0,1.40269462464,1.0,,,1.40269462464,Gupta wet-tower submodel + explicit cooling-profile scenario,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=50.1109&longitude=8.6821&hourly=temperature_2m%2Cwet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT,Upper-bound always-evaporative tower scenario using Gupta wet-tower curve,Represents a conservative high-water direct-cooling case
DE,Frankfurt am Main metro proxy,50.1109,8.6821,Metro-scale proxy for the dominant DE cloud/data-center hub,metro,2,2025-02-26T12:00:00.000Z,2025-02-26T12:00,7.7,5.4,41.72,41.72,high,wet_tower,always,any,True,0.0,1.4054241273599999,1.0,,,1.4054241273599999,Gupta wet-tower submodel + explicit cooling-profile scenario,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=50.1109&longitude=8.6821&hourly=temperature_2m%2Cwet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT,Upper-bound always-evaporative tower scenario using Gupta wet-tower curve,Represents a conservative high-water direct-cooling case
DE,Frankfurt am Main metro proxy,50.1109,8.6821,Metro-scale proxy for the dominant DE cloud/data-center hub,metro,3,2025-02-26T13:00:00.000Z,2025-02-26T13:00,7.9,5.2,41.36,41.36,high,wet_tower,always,any,True,0.0,1.39995283584,1.0,,,1.39995283584,Gupta wet-tower submodel + explicit cooling-profile scenario,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=50.1109&longitude=8.6821&hourly=temperature_2m%2Cwet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT,Upper-bound always-evaporative tower scenario using Gupta wet-tower curve,Represents a conservative high-water direct-cooling case
DE,Frankfurt am Main metro proxy,50.1109,8.6821,Metro-scale proxy for the dominant DE cloud/data-center hub,metro,4,2025-02-26T14:00:00.000Z,2025-02-26T14:00,8.0,5.0,41.0,41.0,high,wet_tower,always,any,True,0.0,1.3944324,1.0,,,1.3944324,Gupta wet-tower submodel + explicit cooling-profile scenario,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=50.1109&longitude=8.6821&hourly=temperature_2m%2Cwet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT,Upper-bound always-evaporative tower scenario using Gupta wet-tower curve,Represents a conservative high-water direct-cooling case
DE,Frankfurt am Main metro proxy,50.1109,8.6821,Metro-scale proxy for the dominant DE cloud/data-center hub,metro,5,2025-02-26T15:00:00.000Z,2025-02-26T15:00,8.8,5.6,42.08,42.08,high,wet_tower,always,any,True,0.0,1.41084627456,1.0,,,1.41084627456,Gupta wet-tower submodel + explicit cooling-profile scenario,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=50.1109&longitude=8.6821&hourly=temperature_2m%2Cwet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT,Upper-bound always-evaporative tower scenario using Gupta wet-tower curve,Represents a conservative high-water direct-cooling case
DE,Frankfurt am Main metro proxy,50.1109,8.6821,Metro-scale proxy for the dominant DE cloud/data-center hub,metro,6,2025-02-26T16:00:00.000Z,2025-02-26T16:00,9.1,5.6,42.08,42.08,high,wet_tower,always,any,True,0.0,1.41084627456,1.0,,,1.41084627456,Gupta wet-tower submodel + explicit cooling-profile scenario,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=50.1109&longitude=8.6821&hourly=temperature_2m%2Cwet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT,Upper-bound always-evaporative tower scenario using Gupta wet-tower curve,Represents a conservative high-water direct-cooling case
DE,Frankfurt am Main metro proxy,50.1109,8.6821,Metro-scale proxy for the dominant DE cloud/data-center hub,metro,7,2025-02-26T17:00:00.000Z,2025-02-26T17:00,8.4,5.8,42.44,42.44,high,wet_tower,always,any,True,0.0,1.41621927744,1.0,,,1.41621927744,Gupta wet-tower submodel + explicit cooling-profile scenario,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=50.1109&longitude=8.6821&hourly=temperature_2m%2Cwet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT,Upper-bound always-evaporative tower scenario using Gupta wet-tower curve,Represents a conservative high-water direct-cooling case
DE,Frankfurt am Main metro proxy,50.1109,8.6821,Metro-scale proxy for the dominant DE cloud/data-center hub,metro,8,2025-02-26T18:00:00.000Z,2025-02-26T18:00,7.6,5.3,41.54,41.54,high,wet_tower,always,any,True,0.0,1.40269462464,1.0,,,1.40269462464,Gupta wet-tower submodel + explicit cooling-profile scenario,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=50.1109&longitude=8.6821&hourly=temperature_2m%2Cwet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT,Upper-bound always-evaporative tower scenario using Gupta wet-tower curve,Represents a conservative high-water direct-cooling case
DE,Frankfurt am Main metro proxy,50.1109,8.6821,Metro-scale proxy for the dominant DE cloud/data-center hub,metro,9,2025-02-26T19:00:00.000Z,2025-02-26T19:00,7.0,5.0,41.0,41.0,high,wet_tower,always,any,True,0.0,1.3944324,1.0,,,1.3944324,Gupta wet-tower submodel + explicit cooling-profile scenario,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=50.1109&longitude=8.6821&hourly=temperature_2m%2Cwet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT,Upper-bound always-evaporative tower scenario using Gupta wet-tower curve,Represents a conservative high-water direct-cooling case
